id,ehmi_id,summary_result,learnability_sum,Usability_sum
40,4,32.5,75,21.875
40,1,75,87.5,71.875
39,1,77.5,100,71.875
39,4,80,100,75
31,1,65,50,68.75
31,4,45,50,43.75
30,1,87.5,100,84.375
30,4,67.5,62.5,68.75
29,1,60,12.5,71.875
28,4,17.5,50,9.375
28,1,72.5,75,71.875
27,4,70,87.5,65.625
27,1,75,75,75
26,4,47.5,100,34.375
26,1,90,100,87.5
25,4,70,87.5,65.625
25,1,77.5,100,71.875
22,4,85,87.5,84.375
22,1,87.5,100,84.375
21,4,90,50,100
21,1,80,75,81.25
20,4,60,87.5,53.125
20,1,87.5,100,84.375
19,1,60,0,75
19,4,55,0,68.75
18,4,77.5,75,78.125
18,1,87.5,75,90.625
17,4,80,75,81.25
17,1,87.5,75,90.625
16,1,65,62.5,65.625
16,4,40,62.5,34.375
15,4,85,100,81.25
15,1,85,100,81.25
14,4,62.5,75,59.375
14,1,70,50,75
14,4,47.5,12.5,56.25
13,4,95,100,93.75
13,1,95,100,93.75
12,1,90,100,87.5
12,4,90,100,87.5
11,1,77.5,100,71.875
11,4,72.5,87.5,68.75
10,1,60,12.5,71.875
10,4,52.5,62.5,50
8,4,80,50,87.5
8,1,90,100,87.5
7,1,60,50,62.5
7,4,60,62.5,59.375
6,1,85,100,81.25
6,4,67.5,87.5,62.5
5,4,85,100,81.25
5,1,90,100,87.5
4,1,87.5,87.5,87.5
4,4,75,100,68.75
3,4,65,87.5,59.375
3,1,95,100,93.75
2,4,70,75,68.75
2,1,77.5,75,78.125
1,1,72.5,50,78.125
1,4,15,62.5,3.125
